FY,Customer,Breakout,Category,Amount
2003,MDA,Adv. Component Dev. & Prototypes (6.4),R&D,49397942.0
2003,MDA,Adv. Technology Dev. (6.3),R&D,479021679.0
2003,MDA,Applied Research (6.2),R&D,13164075.0
2003,MDA,Basic Research (6.1),R&D,48467040.0
2003,MDA,Operation of Government R&D Facilities,R&D,175143816.0
2003,Navy,Aircraft,Products,7919558037.0
2003,Navy,Clothing & Subsistence,Products,212834731.0
2003,Navy,Electronics & Communications,Products,4256734756.0
2003,Navy,Engines & Power Plants,Products,3187631195.0
2003,Navy,ERS,Services,8462389644.0
2003,Navy,FRS&C,Services,8537207634.0
2003,Navy,Fuels,Products,13357376.0
2003,Navy,Ground Vehicles,Products,382242445.0
2003,Navy,ICT,Services,2964958111.0
2003,Navy,Launchers & Munitions,Products,2206331327.0
2003,Navy,MED,Services,351224255.0
2003,Navy,Missiles & Space,Products,3339309470.0
2003,Navy,Other,Products,2972042380.0
2003,Navy,PAMS,Services,9319086945.0
2003,Navy,Adv. Component Dev. & Prototypes (6.4),R&D,1136616027.0
2003,Navy,Adv. Technology Dev. (6.3),R&D,2451996394.0
2003,Navy,Applied Research (6.2),R&D,924099582.0
2003,Navy,Basic Research (6.1),R&D,1118773603.0
2003,Navy,Operation of Government R&D Facilities,R&D,576330544.0
2003,Navy,Operational Systems Dev. (6.7),R&D,735350248.0
2003,Navy,System Dev. & Demonstration (6.5),R&D,6901236141.0
2003,Navy,Ships,Products,7032636096.0
2003,Other DoD,Aircraft,Products,194227468.0
2003,Other DoD,Clothing & Subsistence,Products,53771743.0
2003,Other DoD,Electronics & Communications,Products,1135328623.0
2003,Other DoD,Engines & Power Plants,Products,5869909.0
2003,Other DoD,ERS,Services,802901739.0
2003,Other DoD,FRS&C,Services,526664963.0
2003,Other DoD,Fuels,Products,133388.0
2003,Other DoD,Ground Vehicles,Products,18645703.0
2003,Other DoD,ICT,Services,4426601743.0
2003,Other DoD,Launchers & Munitions,Products,33803383.0
2003,Other DoD,MED,Services,7753655466.0
2003,Other DoD,Missiles & Space,Products,20451773.0
2003,Other DoD,Other,Products,987183569.0
2003,Other DoD,PAMS,Services,2009450917.0
2003,Other DoD,Adv. Component Dev. & Prototypes (6.4),R&D,18667818.0
2003,Other DoD,Adv. Technology Dev. (6.3),R&D,156957544.0
2003,Other DoD,Applied Research (6.2),R&D,549555967.0
2003,Other DoD,Basic Research (6.1),R&D,399189173.0
2003,Other DoD,Operation of Government R&D Facilities,R&D,15896464.0
2003,Other DoD,Operational Systems Dev. (6.7),R&D,2194907.0
2003,Other DoD,System Dev. & Demonstration (6.5),R&D,36069291.0
2003,Other DoD,Ships,Products,31082099.0
2004,Air Force,Aircraft,Products,17876030867.0
2004,Air Force,Clothing & Subsistence,Products,229815825.0
2004,Air Force,Electronics & Communications,Products,4039017676.0
2004,Air Force,Engines & Power Plants,Products,4055889437.0
2004,Air Force,ERS,Services,4428451806.0
2004,Air Force,FRS&C,Services,5647792439.0
2004,Air Force,Fuels,Products,5648036.0
2004,Air Force,Ground Vehicles,Products,148605438.0
2004,Air Force,ICT,Services,3222017600.0
2004,Air Force,Launchers & Munitions,Products,1942212184.0
2004,Air Force,MED,Services,83854773.0
